"","gen","A1A1","A1A2","A2A2"
"2886",2886,107626.311177073,38865.0407593096,3508.64806361719
"2887",2887,107593.402782101,38892.0043929856,3514.59282491352
"2888",2888,107560.476601729,38918.9766521408,3520.54674613059
"2889",2889,107527.53263915,38945.9575217867,3526.5098390637
"2890",2890,107494.570897582,38972.9469869007,3532.48211551758
"2891",2891,107461.591380267,38999.9450324264,3538.46358730635
"2892",2892,107428.594090473,39026.9516432734,3544.45426625356
"2893",2893,107395.57903149,39053.9668043175,3550.45416419215
"2894",2894,107362.546206635,39080.9905004005,3556.46329296447
"2895",2895,107329.495619247,39108.0227163304,3562.48166442223
"2896",2896,107296.427272692,39135.0634368811,3568.50929042653
"2897",2897,107263.34117036,39162.1126467925,3574.54618284786
"2898",2898,107230.237315663,39189.1703307706,3580.59235356605
"2899",2899,107197.115712042,39216.2364734872,3586.6478144703
"2900",2900,107163.976362961,39243.3110595802,3592.71257745914
"2901",2901,107130.819271906,39270.3940736535,3598.78665444047
"2902",2902,107097.644442392,39297.4855002767,3604.8700573315
"2903",2903,107064.451877956,39324.5853239854,3610.96279805877
"2904",2904,107031.241582161,39351.6935292812,3617.06488855814
"2905",2905,106998.013558594,39378.8101006314,3623.17634077479
"2906",2906,106964.767810868,39405.9350224692,3629.29716666318
"2907",2907,106931.504342619,39433.0682791937,3635.42737818708
"2908",2908,106898.223157511,39460.2098551697,3641.56698731954
"2909",2909,106864.924259229,39487.3597347279,3647.71600604289
"2910",2910,106831.607651487,39514.5179021646,3653.87444634873
"2911",2911,106798.27333802,39541.684341742,3660.04232023792
"2912",2912,106764.921322591,39568.859037688,3666.21963972057
"2913",2913,106731.551608988,39596.0419741963,3672.40641681604
"2914",2914,106698.164201021,39623.2331354261,3678.60266355292
"2915",2915,106664.759102528,39650.4325055025,3684.80839196904
"2916",2916,106631.336317372,39677.6400685162,3691.02361411144
"2917",2917,106597.89584944,39704.8558085234,3697.24834203638
"2918",2918,106564.437702645,39732.0797095462,3703.4825878093
"2919",2919,106530.961880923,39759.311755572,3709.72636350486
"2920",2920,106497.468388239,39786.5519305541,3715.9796812069
"2921",2921,106463.95722858,39813.8002184113,3722.24255300843
"2922",2922,106430.428405961,39841.0566030277,3728.51499101164
"2923",2923,106396.881924419,39868.3210682534,3734.79700732785
"2924",2924,106363.317788019,39895.5935979036,3741.08861407758
"2925",2925,106329.73600085,39922.8741757594,3747.38982339044
"2926",2926,106296.136567028,39950.162785567,3753.70064740521
"2927",2927,106262.519490692,39977.4594110384,3760.02109826978
"2928",2928,106228.884776008,40004.7640358509,3766.35118814115
"2929",2929,106195.232427167,40032.0766436473,3772.69092918543
"2930",2930,106161.562448386,40059.3972180358,3779.04033357784
"2931",2931,106127.874843907,40086.7257425902,3785.39941350267
"2932",2932,106094.169617997,40114.0622008493,3791.76818115328
"2933",2933,106060.44677495,40141.4065763177,3798.14664873214
"2934",2934,106026.706319084,40168.7588524651,3804.53482845073
"2935",2935,105992.948254744,40196.1190127266,3810.93273252961
"2936",2936,105959.172586299,40223.4870405028,3817.34037319838
"2937",2937,105925.379318145,40250.8629191594,3823.75776269567
"2938",2938,105891.568454703,40278.2466320275,3830.18491326911
"2939",2939,105857.740000421,40305.6381624035,3836.62183717538
"2940",2940,105823.893959771,40333.0374935491,3843.06854668014
"2941",2941,105790.030337251,40360.4446086911,3849.52505405803
"2942",2942,105756.149137385,40387.8594910218,3855.99137159271
"2943",2943,105722.250364725,40415.2821236985,3862.46751157678
"2944",2944,105688.334023844,40442.7124898438,3868.95348631183
"2945",2945,105654.400119346,40470.1505725455,3875.44930810838
"2946",2946,105620.448655858,40497.5963548565,3881.95498928591
"2947",2947,105586.479638032,40525.0498197951,3888.47054217283
"2948",2948,105552.493070549,40552.5109503445,3894.99597910648
"2949",2949,105518.488958114,40579.9797294531,3901.53131243309
"2950",2950,105484.467305458,40607.4561400345,3908.07655450783
"2951",2951,105450.428117338,40634.9401649674,3914.63171769474
"2952",2952,105416.371398538,40662.4317870954,3921.19681436674
"2953",2953,105382.297153867,40689.9309892275,3927.77185690563
"2954",2954,105348.20538816,40717.4377541376,3934.35685770209
"2955",2955,105314.09610628,40744.9520645645,3940.95182915563
"2956",2956,105279.969313113,40772.4739032124,3947.5567836746
"2957",2957,105245.825013574,40800.0032527501,3954.1717336762
